2017-02-16 09:01:49,057 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,156 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,057 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,058 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,061 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,062 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,067 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,067 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,068 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,071 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,208 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,086 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,086 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,089 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,090 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,092 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,053 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,219 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,058 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,158 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,159 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,160 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,162 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,163 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,165 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,166 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,166 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,168 - realTime_ny1.py:88 - logging - get buzz fail, retry...
